City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Mirandopolis,BR,86.83,clear sky,-21.1336,-51.1017,Hotel Piriquitu's
517,Axim,GH,78.89,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
521,Ko Samui,TH,84.15,broken clouds,9.5357,99.9357,Viva Vacation Resort
535,Trairi,BR,86.18,few clouds,-3.2778,-39.2689,janelas do mar
537,Kavaratti,IN,82.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
538,Mattru,SL,77.11,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
539,Aksakovo,BG,77.86,clear sky,43.25,27.8167,Stildor
545,Merauke,ID,76.89,broken clouds,-8.4667,140.3333,
555,Amapa,BR,75.94,overcast clouds,1.0,-52.0,
557,Caucaia,BR,85.95,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
565,Wurzburg,DE,85.6,overcast clouds,49.7878,9.9361,Hotel Strauss - Würzburg
573,Port Blair,IN,81.46,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
576,Impfondo,CG,76.15,light rain,1.6381,18.0667,Auberge La Place de Jules
580,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
581,Shimoda,JP,77.63,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
584,Da Nang,VN,87.85,scattered clouds,16.0678,108.2208,Sun River Hotel
587,Praia Da Vitoria,PT,77.76,clear sky,38.7333,-27.0667,Hotel Branco I
588,Luau,AO,76.41,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
589,Wenling,CN,80.46,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
590,Halifax,CA,85.41,fog,44.6453,-63.5724,Hotel Halifax
595,Pangoa,PE,82.4,broken clouds,-12.1167,-73.0,
596,Langfang,CN,75.45,light rain,39.5097,116.6947,Wanda Realm Langfang
603,Mayumba,GA,75.72,broken clouds,-3.432,10.6554,LIKWALE LODGE
605,Ambon,ID,78.37,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
608,Weligama,LK,79.11,overcast clouds,5.9667,80.4167,Weligama Bay Resort
609,Kasongo-Lunda,CD,85.6,clear sky,-6.4667,16.8167,
610,Bangkal,PH,77.45,overcast clouds,6.0667,121.0667,JB's Resort
614,Sola,VU,77.83,broken clouds,-13.8833,167.55,Leumerus Bungalows
615,Cururupu,BR,85.73,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
622,Eyl,SO,76.5,clear sky,7.9803,49.8164,Amiin Hotel
625,Tutoia,BR,87.78,broken clouds,-2.7619,-42.2744,Pousada Guará's
628,Biloxi,US,80.65,moderate rain,30.396,-88.8853,IP Casino Resort Spa
629,Manokwari,ID,77.9,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
631,Wallaceburg,CA,86.13,overcast clouds,42.593,-82.3885,Wallaceburg Inn
634,Sirjan,IR,85.15,clear sky,29.452,55.6814,MAPNA Building
639,San Buenaventura,MX,85.12,clear sky,27.0833,-101.5333,Hotel Gran Plaza
641,Inyonga,TZ,75.85,clear sky,-6.7167,32.0667,Eden Rock Lodge
646,Rosetta,EG,81.91,clear sky,31.4044,30.4164,Green Valley
650,Natal,BR,79.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
657,Ciorogarla,RO,82.78,few clouds,44.4425,25.8833,Shanky Matrimoniale și Servicii
658,Kaohsiung,TW,79.03,few clouds,22.6163,120.3133,御宿商旅-中山館
659,Kirakira,SB,76.5,overcast clouds,-10.4544,161.9205,SanBiz Lodge
663,Golden,US,87.57,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
664,Qui Nhon,VN,81.91,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
667,Mandla,IN,75.92,overcast clouds,22.6,80.3833,Bison Resort
676,Chaohu,CN,78.91,light rain,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
679,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
680,Marsh Harbour,BS,84.07,light rain,26.5412,-77.0636,Abaco Beach Resort
686,Ken Caryl,US,87.24,scattered clouds,39.5773,-105.1169,Hampton Inn & Suites Denver Littleton
687,Jawa,JO,82.18,haze,31.8525,35.9393,دار الحاج عبدالله ابو صعيليك واولاده
688,Jaitaran,IN,85.39,broken clouds,26.2031,73.9364,"Sheetal Bhoomi Seervi Resort, Bhakarwas"
691,Tomatlan,MX,86.88,scattered clouds,19.9333,-105.25,El Salvial
695,Malanje,AO,79.45,clear sky,-9.5402,16.341,Malanje Hotel
697,Logon,PH,81.93,broken clouds,11.3303,124.1146,Tepanee Beach Resort
699,Craig,US,82.83,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
700,Sibolga,ID,75.83,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
704,Camalu,MX,80.8,clear sky,30.85,-116.0667,La Cueva del Pirata
706,Sokoto,NG,84.63,light rain,13.0609,5.239,Shukura Coral Hotel
