City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Smithers,54.7804,-127.1743,73.72,56,40,5.75,CA,2021-08-02 18:56:55
67,Yokadouma,3.5167,15.05,70.61,97,100,0.85,CM,2021-08-02 18:56:55
68,Farafangana,-22.8167,47.8333,66.54,84,0,6.49,MG,2021-08-02 18:56:56
69,Zaraza,9.3503,-65.3245,74.46,96,100,5.39,VE,2021-08-02 18:56:57
70,Bharatpur,27.2167,77.4833,81.27,83,14,8.28,IN,2021-08-02 18:56:57
71,Carnarvon,-24.8667,113.6333,50.07,44,0,11.5,AU,2021-08-02 18:55:40
72,Lewiston,44.1003,-70.2148,76.32,65,75,12.66,US,2021-08-02 18:55:09
73,Cascais,38.6979,-9.4215,75.25,69,20,8.99,PT,2021-08-02 18:56:59
74,Tumut,-35.3,148.2167,47.39,99,100,4.63,AU,2021-08-02 18:57:00
75,Pevek,69.7008,170.3133,33.66,88,100,20.71,RU,2021-08-02 18:57:01
76,Saint-Ambroise,48.5501,-71.3324,65.57,63,92,9.22,CA,2021-08-02 18:57:01
77,Kapoeta,4.7717,33.5903,73.8,64,34,4.94,SS,2021-08-02 18:57:02
78,Yarada,17.65,83.2667,86.32,66,40,6.91,IN,2021-08-02 18:57:03
79,Fukue,32.6881,128.8419,80.91,82,28,14.85,JP,2021-08-02 18:57:03
80,Butaritari,3.0707,172.7902,81.97,74,18,7.45,KI,2021-08-02 18:53:57
81,Kpandae,8.4689,-0.0113,80.87,66,100,3.89,GH,2021-08-02 18:57:05
82,Barrow,71.2906,-156.7887,42.82,87,90,16.11,US,2021-08-02 18:54:51
83,Sao Joao Da Barra,-21.6403,-41.0511,75.29,70,0,12.3,BR,2021-08-02 18:56:18
84,Burnie,-41.0667,145.9167,49.24,85,100,4.47,AU,2021-08-02 18:57:07
85,Takoradi,4.8845,-1.7554,78.03,79,37,10.16,GH,2021-08-02 18:57:07
86,Avarua,-21.2078,-159.775,75.25,100,90,10.36,CK,2021-08-02 18:54:31
87,Skovorodino,53.9833,123.9167,53.87,97,10,4.07,RU,2021-08-02 18:57:08
88,Chuy,-33.6971,-53.4616,57.2,80,39,8.48,UY,2021-08-02 18:55:17
89,Teguldet,57.3064,88.1667,54.9,81,100,2.64,RU,2021-08-02 18:57:10
90,Havelock,34.8791,-76.9013,84.97,86,100,7.7,US,2021-08-02 18:57:10
91,Harper,4.375,-7.7169,76.77,76,27,7.76,LR,2021-08-02 18:57:11
92,Kapaa,22.0752,-159.319,79.2,68,23,5.99,US,2021-08-02 18:53:47
93,Port Alfred,-33.5906,26.891,58.37,77,62,18.07,ZA,2021-08-02 18:54:14
94,Ekibastuz,51.6667,75.3667,75.94,44,93,12.68,KZ,2021-08-02 18:57:48
95,Victoria,22.2855,114.1577,86.32,83,100,4.0,HK,2021-08-02 18:50:10
96,Mexico,15.0646,120.7198,82.47,87,100,9.06,PH,2021-08-02 18:55:01
97,Druzhinino,56.7895,59.5143,61.81,92,100,4.99,RU,2021-08-02 18:57:50
98,Town And Country,38.6123,-90.4634,82.63,54,27,3.0,US,2021-08-02 18:57:50
99,New Norfolk,-42.7826,147.0587,44.71,80,100,2.57,AU,2021-08-02 18:55:26
100,Passo De Camaragibe,-9.2368,-35.4901,78.35,90,23,9.98,BR,2021-08-02 18:57:52
101,Banjar,-8.19,114.9675,76.86,91,49,6.17,ID,2021-08-02 18:57:53
102,Meulaboh,4.1363,96.1285,75.76,85,68,4.97,ID,2021-08-02 18:57:53
103,Kaitangata,-46.2817,169.8464,46.92,64,100,11.54,NZ,2021-08-02 18:57:54
104,Roebourne,-20.7833,117.1333,61.27,24,5,16.87,AU,2021-08-02 18:57:55
105,Manzanillo,20.3433,-77.1167,89.78,57,100,3.44,CU,2021-08-02 18:57:55
106,Codrington,-38.2667,141.9667,41.79,94,100,9.26,AU,2021-08-02 18:57:56
107,Benguela,-12.5763,13.4055,71.71,81,0,5.03,AO,2021-08-02 18:57:57
108,Kodiak,57.79,-152.4072,55.89,83,6,3.74,US,2021-08-02 18:53:54
109,Baturyn,51.3457,32.8779,70.57,67,0,10.31,UA,2021-08-02 18:57:58
110,Canyon,34.9803,-101.9188,83.52,42,7,8.86,US,2021-08-02 18:57:58
111,Esperance,-33.8667,121.9,48.04,82,100,9.8,AU,2021-08-02 18:57:59
112,Ahipara,-35.1667,173.1667,53.47,77,0,25.77,NZ,2021-08-02 18:55:14
113,Panjab,34.388,67.0233,59.04,35,8,5.77,AF,2021-08-02 18:58:01
114,Chokurdakh,70.6333,147.9167,39.69,69,12,7.4,RU,2021-08-02 18:53:39
115,Coquimbo,-29.9533,-71.3436,58.73,72,20,4.61,CL,2021-08-02 18:55:00
116,Kiruna,67.8557,20.2251,47.32,66,20,8.05,SE,2021-08-02 18:58:03
117,Narsaq,60.9167,-46.05,51.58,75,99,0.74,GL,2021-08-02 18:55:00
118,Demba,-5.51,22.2667,75.45,31,7,2.75,CD,2021-08-02 18:58:04
119,Forio,40.7342,13.8646,77.43,71,100,4.0,IT,2021-08-02 18:58:05
120,Uige,-7.6087,15.0613,72.19,40,9,0.07,AO,2021-08-02 18:58:05
121,Usinsk,65.9939,57.5281,56.01,81,100,7.87,RU,2021-08-02 18:58:06
122,Bluff,-46.6,168.3333,43.81,69,100,13.47,NZ,2021-08-02 18:53:52
123,Bahar,34.9072,48.4414,72.34,32,36,6.55,IR,2021-08-02 18:58:07
124,Miandrivazo,-19.5167,45.4667,72.88,61,100,1.54,MG,2021-08-02 18:58:08
125,Creston,41.0586,-94.3614,75.85,53,75,5.75,US,2021-08-02 18:58:09
126,Shingu,33.7333,135.9833,79.92,80,100,4.54,JP,2021-08-02 18:58:09
127,Noumea,-22.2763,166.4572,66.0,99,0,4.18,NC,2021-08-02 18:58:10
128,Rosita,13.9268,-84.4032,81.09,89,86,4.5,NI,2021-08-02 18:58:10
129,East London,-33.0153,27.9116,58.14,82,20,6.91,ZA,2021-08-02 18:50:58
130,Marzuq,14.4,46.4667,83.93,55,96,5.68,YE,2021-08-02 18:58:12
131,Krasnopavlivka,49.1372,36.3272,76.96,53,0,8.28,UA,2021-08-02 18:58:12
132,Abancay,-13.6339,-72.8814,61.84,49,87,7.7,PE,2021-08-02 18:58:13
133,Channel-Port Aux Basques,47.5702,-59.1367,63.18,76,100,10.54,CA,2021-08-02 18:58:14
134,Busselton,-33.65,115.3333,54.19,75,100,7.14,AU,2021-08-02 18:54:11
135,Porto Velho,-8.7619,-63.9039,95.05,20,0,10.36,BR,2021-08-02 18:55:04
136,Clyde River,70.4692,-68.5914,44.83,76,1,13.8,CA,2021-08-02 18:54:46
137,Moree,-29.4667,149.85,59.02,94,40,11.5,AU,2021-08-02 18:58:16
138,Souillac,-20.5167,57.5167,65.35,88,20,8.05,MU,2021-08-02 18:58:16
139,Roald,62.5833,6.1333,59.92,67,20,13.8,NO,2021-08-02 18:58:17
140,Ternate,0.8,127.4,81.36,75,63,7.27,ID,2021-08-02 18:58:18
141,Komsomolskiy,40.4272,71.7189,79.52,44,95,4.61,UZ,2021-08-02 18:55:48
142,Antofagasta,-23.65,-70.4,66.22,61,1,5.48,CL,2021-08-02 18:58:19
143,Isangel,-19.55,169.2667,64.51,77,0,5.75,VU,2021-08-02 18:54:58
144,Tigzirt,36.8886,4.1198,75.81,76,100,18.66,DZ,2021-08-02 18:58:20
145,Cidreira,-30.1811,-50.2056,59.65,69,0,8.95,BR,2021-08-02 18:55:04
146,Bud,39.447,-86.1758,78.91,57,0,5.53,US,2021-08-02 18:58:21
147,Lorengau,-2.0226,147.2712,81.1,81,28,8.23,PG,2021-08-02 18:58:22
148,Taoudenni,22.6783,-3.9836,91.44,33,99,8.32,ML,2021-08-02 18:58:22
149,Zhigansk,66.7697,123.3711,58.66,61,33,10.89,RU,2021-08-02 18:54:34
150,Shimoda,34.6667,138.95,80.71,88,89,7.43,JP,2021-08-02 18:58:23
151,Oranjestad,12.524,-70.027,91.35,52,20,23.02,AW,2021-08-02 18:55:23
152,Hami,42.8,93.45,79.84,22,2,4.9,CN,2021-08-02 18:54:41
153,Marawi,7.9986,124.2928,69.66,90,98,5.19,PH,2021-08-02 18:58:25
154,Cache Creek,50.8101,-121.3246,72.18,44,100,3.02,CA,2021-08-02 18:58:26
155,Rio Gallegos,-51.6226,-69.2181,53.65,26,0,19.57,AR,2021-08-02 18:53:08
156,Bilibino,68.0546,166.4372,34.65,81,100,12.75,RU,2021-08-02 18:58:27
157,Bethel,41.3712,-73.414,79.72,58,15,1.01,US,2021-08-02 18:58:27
158,Garden City,42.3256,-83.331,78.76,49,37,8.14,US,2021-08-02 18:58:28
159,Kudahuvadhoo,2.6708,72.8944,82.15,72,100,5.95,MV,2021-08-02 18:55:52
160,Rumonge,-3.9736,29.4386,74.82,53,36,2.51,BI,2021-08-02 18:58:29
161,Wanning,18.8003,110.3967,80.55,86,63,10.07,CN,2021-08-02 18:58:30
162,Kalmunai,7.4167,81.8167,80.44,65,100,5.32,LK,2021-08-02 18:58:31
163,Puerto Ayora,-0.7393,-90.3518,80.56,81,73,12.03,EC,2021-08-02 18:54:24
164,Abu Dhabi,24.4667,54.3667,96.91,52,0,2.3,AE,2021-08-02 18:58:32
165,Egvekinot,66.3167,-179.1667,33.22,88,100,19.42,RU,2021-08-02 18:58:32
166,Te Anau,-45.4167,167.7167,38.89,94,70,2.64,NZ,2021-08-02 18:55:35
167,Jining,35.405,116.5814,73.56,88,1,3.71,CN,2021-08-02 18:56:09
168,Lompoc,34.6391,-120.4579,94.14,69,1,13.8,US,2021-08-02 18:54:40
169,Lata,40.1629,-8.3327,70.36,60,5,5.5,PT,2021-08-02 18:58:36
170,Roma,43.2128,-75.4557,75.51,49,0,1.99,US,2021-08-02 18:58:19
171,Atlantic City,39.3643,-74.4229,82.02,50,0,4.18,US,2021-08-02 18:56:07
172,Castro,-24.7911,-50.0119,63.36,57,0,6.53,BR,2021-08-02 18:52:27
173,Cape Town,-33.9258,18.4232,59.11,81,0,4.61,ZA,2021-08-02 18:51:50
174,Sanmenxia,34.7747,111.1814,73.71,80,0,8.68,CN,2021-08-02 18:58:38
175,Severo-Kurilsk,50.6789,156.125,50.11,78,88,21.61,RU,2021-08-02 18:55:39
176,Nikolskoye,59.7035,30.7861,63.39,98,100,6.04,RU,2021-08-02 18:55:24
177,Airai,-8.9266,125.4092,55.81,80,27,3.2,TL,2021-08-02 18:54:40
178,Necochea,-38.5473,-58.7368,66.04,48,1,13.62,AR,2021-08-02 18:58:58
179,Juan Lacaze,-34.4342,-57.4381,61.12,62,0,2.24,UY,2021-08-02 18:58:58
180,Port Hedland,-20.3167,118.5667,55.45,26,5,10.36,AU,2021-08-02 18:58:59
181,Abha,18.2164,42.5053,69.62,83,40,5.75,SA,2021-08-02 18:55:43
182,Panzhihua,26.5851,101.7128,70.68,74,22,1.57,CN,2021-08-02 18:55:00
183,Padang,-0.9492,100.3543,75.25,86,100,3.8,ID,2021-08-02 18:54:08
184,Huanuco,-9.9329,-76.2415,71.85,51,32,9.35,PE,2021-08-02 18:59:02
185,Carutapera,-1.195,-46.02,78.73,87,40,5.35,BR,2021-08-02 18:54:24
186,Broken Hill,-31.95,141.4333,42.51,87,0,10.36,AU,2021-08-02 18:59:04
187,Blacksburg,37.2296,-80.4139,81.79,42,75,3.44,US,2021-08-02 18:59:04
188,Castrovillari,39.8203,16.2123,77.13,36,7,7.58,IT,2021-08-02 18:59:06
189,Axim,4.8699,-2.2405,77.29,85,42,9.15,GH,2021-08-02 18:54:06
190,Upernavik,72.7868,-56.1549,46.02,69,10,1.3,GL,2021-08-02 18:54:15
191,Tara,56.8944,74.371,57.16,90,51,5.82,RU,2021-08-02 18:59:07
192,Ostrovnoy,68.0531,39.5131,57.99,89,100,9.28,RU,2021-08-02 18:59:08
193,Sigli,5.3848,95.9609,78.46,71,81,5.35,ID,2021-08-02 18:59:09
194,Puerto Baquerizo Moreno,-0.9,-89.6,76.19,73,20,11.5,EC,2021-08-02 18:59:10
195,Andenes,69.3143,16.1194,49.06,81,75,12.66,NO,2021-08-02 18:59:10
196,Sao Filipe,14.8961,-24.4956,76.68,81,54,4.81,CV,2021-08-02 18:59:11
197,Bowen,-20.0167,148.2333,52.02,83,17,6.46,AU,2021-08-02 18:59:12
198,Kautokeino,69.0125,23.0412,46.71,60,3,12.86,NO,2021-08-02 18:59:13
199,Saint-Augustin,51.226,-58.6502,63.86,69,92,17.09,CA,2021-08-02 18:59:14
200,Angouleme,45.65,0.15,68.95,71,0,3.44,FR,2021-08-02 18:59:15
201,Tiksi,71.6872,128.8694,48.34,68,81,3.33,RU,2021-08-02 18:54:27
202,Khatanga,71.9667,102.5,61.75,65,22,9.73,RU,2021-08-02 18:59:16
203,Mikkeli,61.6886,27.2723,62.71,88,0,1.14,FI,2021-08-02 18:59:16
204,Nelson Bay,-32.7167,152.15,59.09,94,19,13.35,AU,2021-08-02 18:59:17
205,Lagoa,39.05,-27.9833,72.5,88,2,6.15,PT,2021-08-02 18:59:18
206,Kulunda,52.566,78.9385,69.66,63,100,3.24,RU,2021-08-02 18:59:19
207,Weihe,32.9952,105.3247,67.14,99,100,1.7,CN,2021-08-02 18:59:20
208,Yellowknife,62.456,-114.3525,86.52,30,20,11.5,CA,2021-08-02 18:51:33
209,Katherine,-14.4667,132.2667,66.52,59,65,0.0,AU,2021-08-02 18:59:21
210,Jodhpur,26.2867,73.03,83.86,69,100,20.29,IN,2021-08-02 18:59:21
211,Outlook,51.5001,-107.0513,91.09,18,100,7.02,CA,2021-08-02 18:59:22
212,Oranjemund,-28.55,16.4333,61.21,56,0,2.3,NA,2021-08-02 18:54:31
213,Amga,60.8953,131.9608,59.67,78,100,3.83,RU,2021-08-02 18:59:23
214,Fairbanks,64.8378,-147.7164,76.23,65,1,1.01,US,2021-08-02 18:55:17
215,Kruisfontein,-34.0033,24.7314,54.88,94,0,7.14,ZA,2021-08-02 18:59:25
216,Aklavik,68.2191,-135.0107,65.23,82,75,2.3,CA,2021-08-02 18:54:43
217,Saint Anthony,45.0205,-93.218,83.34,39,75,8.05,US,2021-08-02 18:59:26
218,Dikson,73.5069,80.5464,47.28,80,100,11.65,RU,2021-08-02 18:54:48
219,Ponta Do Sol,32.6667,-17.1,75.13,68,16,6.08,PT,2021-08-02 18:54:55
220,Zhaotong,27.3167,103.7167,60.06,79,0,1.99,CN,2021-08-02 18:59:28
221,Mount Gambier,-37.8333,140.7667,44.51,100,90,8.05,AU,2021-08-02 18:59:29
222,Rantepao,-2.9701,119.8978,66.47,98,47,1.07,ID,2021-08-02 18:59:29
223,Rocha,-34.4833,-54.3333,55.9,73,35,5.14,UY,2021-08-02 18:59:30
224,Itarema,-2.9248,-39.9167,84.67,54,6,13.15,BR,2021-08-02 18:59:31
225,Sungurlare,42.7667,26.7833,90.77,35,5,4.09,BG,2021-08-02 18:59:31
226,Kamaishi,39.2667,141.8833,74.8,97,93,8.99,JP,2021-08-02 18:59:32
227,Bose,45.4612,8.0137,73.94,74,11,4.99,IT,2021-08-02 18:59:33
228,Sibolga,1.7427,98.7792,76.69,83,99,2.71,ID,2021-08-02 18:59:33
229,Pisco,-13.7,-76.2167,67.01,82,75,10.36,PE,2021-08-02 18:59:34
230,Erenhot,43.6475,111.9767,73.38,38,100,8.59,CN,2021-08-02 18:59:35
231,Port Lincoln,-34.7333,135.8667,51.98,60,56,22.35,AU,2021-08-02 18:54:05
232,Luderitz,-26.6481,15.1594,67.05,39,0,1.81,NA,2021-08-02 18:55:40
233,Westport,41.1415,-73.3579,81.9,55,5,3.0,US,2021-08-02 18:59:31
234,Koumac,-20.5667,164.2833,62.13,72,5,4.74,NC,2021-08-02 18:59:37
235,Qaanaaq,77.484,-69.3632,45.37,65,100,5.1,GL,2021-08-02 18:54:10
236,Glarus,47.0406,9.068,66.43,36,13,1.5,CH,2021-08-02 18:59:39
237,Iroquois Falls,48.7669,-80.6831,71.74,43,87,11.99,CA,2021-08-02 18:59:40
238,Half Moon Bay,37.4636,-122.4286,83.5,64,20,9.22,US,2021-08-02 18:59:41
239,Avera,33.194,-82.5271,94.91,36,7,0.38,US,2021-08-02 18:59:41
240,Pinawa,50.1489,-95.8811,87.35,25,6,2.37,CA,2021-08-02 18:59:42
